2025-11-27 17:15:06.866932  |  [OK] 360ONE       | TF:D
2025-11-27 17:15:07.216021  |  [OK] HDFCLIFE     | TF:D
2025-11-27 17:15:07.717133  |  [OK] ABB          | TF:D
2025-11-27 17:15:08.214861  |  [OK] HEROMOTOCO   | TF:D
2025-11-27 17:15:08.724809  |  [OK] ABCAPITAL    | TF:D
2025-11-27 17:15:09.361759  |  [OK] HINDALCO     | TF:D
2025-11-27 17:15:09.699171  |  [OK] ADANIENSOL   | TF:D
2025-11-27 17:15:10.230505  |  [OK] HINDPETRO    | TF:D
2025-11-27 17:15:10.734131  |  [OK] ADANIENT     | TF:D
2025-11-27 17:15:11.247403  |  [OK] HINDUNILVR   | TF:D
2025-11-27 17:15:11.699473  |  [OK] ADANIGREEN   | TF:D
2025-11-27 17:15:12.269922  |  [OK] HINDZINC     | TF:D
2025-11-27 17:15:12.717873  |  [OK] ADANIPORTS   | TF:D
2025-11-27 17:15:13.214073  |  [OK] HUDCO        | TF:D
2025-11-27 17:15:13.700200  |  [OK] ALKEM        | TF:D
2025-11-27 17:15:14.214637  |  [OK] ICICIBANK    | TF:D
2025-11-27 17:15:14.699929  |  [OK] AMBER        | TF:D
2025-11-27 17:15:15.215632  |  [OK] ICICIGI      | TF:D
2025-11-27 17:15:15.715981  |  [OK] AMBUJACEM    | TF:D
2025-11-27 17:15:16.258996  |  [OK] ICICIPRULI   | TF:D
2025-11-27 17:15:16.682447  |  [OK] ANGELONE     | TF:D
2025-11-27 17:15:17.195411  |  [OK] IDEA         | TF:D
2025-11-27 17:15:17.712247  |  [OK] APLAPOLLO    | TF:D
2025-11-27 17:15:18.214648  |  [OK] IDFCFIRSTB   | TF:D
2025-11-27 17:15:18.717993  |  [OK] APOLLOHOSP   | TF:D
2025-11-27 17:15:19.216236  |  [OK] IEX          | TF:D
2025-11-27 17:15:19.715650  |  [OK] ASHOKLEY     | TF:D
2025-11-27 17:15:20.425872  |  [OK] IGL          | TF:D
2025-11-27 17:15:20.698150  |  [OK] ASIANPAINT   | TF:D
2025-11-27 17:15:21.219664  |  [OK] IIFL         | TF:D
2025-11-27 17:15:21.811314  |  [OK] ASTRAL       | TF:D
2025-11-27 17:15:22.200635  |  [OK] INDIGO       | TF:D
2025-11-27 17:15:22.690691  |  [OK] AUBANK       | TF:D
2025-11-27 17:15:22.836565  |  [OK] INDUSINDBK   | TF:D
2025-11-27 17:15:23.423576  |  [OK] AUROPHARMA   | TF:D
2025-11-27 17:15:23.883658  |  [OK] INDUSTOWER   | TF:D
2025-11-27 17:15:24.391182  |  [OK] AXISBANK     | TF:D
2025-11-27 17:15:24.900211  |  [OK] INFY         | TF:D
2025-11-27 17:15:25.396689  |  [OK] BAJAJ_AUTO   | TF:D
2025-11-27 17:15:26.250947  |  [OK] INOXWIND     | TF:D
2025-11-27 17:15:26.403569  |  [OK] BAJAJFINSV   | TF:D
2025-11-27 17:15:26.887370  |  [OK] IOC          | TF:D
2025-11-27 17:15:27.380821  |  [OK] BAJFINANCE   | TF:D
2025-11-27 17:15:27.846018  |  [OK] IRCTC        | TF:D
2025-11-27 17:15:28.342865  |  [OK] BANDHANBNK   | TF:D
2025-11-27 17:15:28.745195  |  [OK] IREDA        | TF:D
2025-11-27 17:15:29.401110  |  [OK] BANKBARODA   | TF:D
2025-11-27 17:15:29.927810  |  [OK] IRFC         | TF:D
2025-11-27 17:15:30.383765  |  [OK] BANKINDIA    | TF:D
2025-11-27 17:15:30.964242  |  [OK] ITC          | TF:D
2025-11-27 17:15:31.337723  |  [OK] BDL          | TF:D
2025-11-27 17:15:31.881403  |  [OK] JINDALSTEL   | TF:D
2025-11-27 17:15:32.391580  |  [OK] BEL          | TF:D
2025-11-27 17:15:32.748670  |  [OK] JIOFIN       | TF:D
2025-11-27 17:15:33.385306  |  [OK] BHARATFORG   | TF:D
2025-11-27 17:15:33.883046  |  [OK] JSWENERGY    | TF:D
2025-11-27 17:15:34.394937  |  [OK] BHARTIARTL   | TF:D
2025-11-27 17:15:34.956321  |  [OK] JSWSTEEL     | TF:D
2025-11-27 17:15:35.403489  |  [OK] BHEL         | TF:D
2025-11-27 17:15:35.992475  |  [OK] JUBLFOOD     | TF:D
2025-11-27 17:15:36.386667  |  [OK] BIOCON       | TF:D
